CODINT_0;flags;Désignation
GESBPR;{'W': 'W-Toutes sociétés', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Tiers
GESBIC;{'V': 'V-Validation des factures', 'E': 'E-Echéances', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Factures tiers client
GESBIS;{'V': 'V-Validation des factures', 'E': 'E-Echéances', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Factures tiers fournisseur
GESFRM;{'V': 'V-Validation', 'F': 'F-Fichier banque', 'T': 'T-Transactions', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie bordereau de remise
GESPAB;{'V': 'V-Validation', 'F': 'F-Fichier banque', 'T': 'T-Transaction', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie avis de domiciliation
GESPIH;{'V': 'V-Validation', 'E': 'E-Echéances', 'U': 'U-Déblocage erreur rapprochement', 'I': 'I-Emission', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Factures
GESPNH;{'V': 'V-Validation', 'K': 'K-Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Retours d'achat
GESREL;{'V': 'V-Validation', 'J': 'J-Mise à jour', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Relevés
GESSDH;{'V': 'V-Validation', 'P': 'P-Proforma', 'F': 'F-Facture', 'K': 'K-Modif. mvts de stock/qtés', 'G': 'G-Colisage', 'I': 'I-Emission', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Livraisons
GESSDH2;{'V': 'V-Validation', 'P': 'P-Proforma', 'F': 'F-Facture', 'K': 'K-Modification mvts de stock', 'G': 'G-Colisage', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Livraisons
GESSIH;{'V': 'V-Validation', 'E': 'E-Echéances', 'R': 'R-Règlement', 'K': 'K-Modification mvts de stock', 'I': 'I-Emission', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Factures
GESSNL;{'V': 'V-Validation', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Inventaire
AREQUETE;{'U': 'U-Tous utilisateurs'};Gestion des requêtes
EXERQT;{'U': 'U-Tous utilisateurs'};Soumission des requêtes
GESABA;{'U': 'U-Tous utilisateurs', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des abonnements
GESAWU;{'U': 'U-Tous utilisateurs', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Utilisateurs délégués
FUNPSH;{'U': 'U-Tous demandeurs'};Solde des demandes achat
FUNPSH2;{'U': 'U-Tous demandeurs'};Solde des demandes achat
BANAFFA;{'U': 'U-Accès par utilisateur'};Affectation banques
BANAFFM;{'U': 'U-Accès par utilisateur'};Saisie banques
BPCVAL;{'U': 'U-Accès par utilisateur'};Validation client
BPSVAL;{'U': 'U-Accès par utilisateur'};Validation fournisseur
CPTACTSIM;{'U': 'U-Accès par utilisateur'};Activation simulations
CPTANA;{'U': 'U-Accès par utilisateur'};Modification analytique
CPTANUSIM;{'U': 'U-Accès par utilisateur'};Annulation simulations
CPTCLP;{'U': 'U-Accès par utilisateur'};Ecritures calculées
CPTDESSIM;{'U': 'U-Accès par utilisateur'};Désactivation simulations
CPTDSPANA;{'U': 'U-Accès par utilisateur'};Répartitions analytiques
CPTEXT;{'U': 'U-Accès par utilisateur'};Extournes
CPTLOT;{'U': 'U-Accès par utilisateur'};Validation des lots
CPTVAL;{'U': 'U-Accès par utilisateur'};Validation définitive
CPTVALSIM;{'U': 'U-Accès par utilisateur'};Validation simulations
EXSGEN;{'U': 'U-Accès par utilisateur'};Comptabilisation des frais
FRADSICTL;{'U': 'U-Accès par utilisateur'};Ctrl. signatures électroniques
FUNCFMINV;{'U': 'U-Accès par utilisateur'};Validation facture/avoir vente
FUNPIH;{'U': 'U-Accès par utilisateur'};Validation des factures
GENAVIDOM;{'U': 'U-Accès par utilisateur'};Génération domiciliations
GENBORREM;{'U': 'U-Accès par utilisateur'};Génération bordereau de remise
SOLABT;{'U': 'U-Accès par utilisateur'};Solde des abonnements
TRFSAC;{'U': 'U-Accès par utilisateur'};Transfert collectif
VALABT;{'U': 'U-Accès par utilisateur'};Génération abonnements
VALBIS;{'U': 'U-Accès par utilisateur'};Factures en attente
VATSAI;{'U': 'U-Accès par utilisateur'};TVA déclarée
GESCAZ;{'T': 'T-Transaction', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Codes interdiction
GESGAS;{'T': 'T-Transaction', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie pièces
GESLOT;{'T': 'T-Transaction', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie lots
GEXPOBJ;{'T': 'T-Traitement'};Exports
GIMPOBJ;{'T': 'T-Traitement'};Imports
GESBPC;{'T': 'T-Tarif', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Clients
GESBPS;{'T': 'T-Tarif', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fournisseurs
GESITM;{'T': 'T-Tarif', 'c': 'c-Coût', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Articles
GESPOD;{'T': 'T-Solde', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Demandes de livraisons
GESPOH;{'T': 'T-Solde', 'L': 'L-Détail structure de coût', 'I': 'I-Emission', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Commandes
GESPSH;{'T': 'T-Solde', 'G': 'G-Génération', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Demandes d'achat
GESPTH;{'T': 'T-Solde', 'K': 'K-Modification mvts de stock', 'L': 'L-Détail structure de coût', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Réceptions
GESPTH2;{'T': 'T-Solde', 'K': 'K-Modification mvts de stock', 'L': 'L-Détail structure de coût', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Réceptions
LECTRACE;{'S': 'S-Suppression'};Lecture traces
GESSTQ;{'Q': 'Q-Changement de statut', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Contrôle qualité
GESSOH;{'P': 'P-Proforma', 'L': 'L-Livraison', 'F': 'F-Facture', 'A': 'A-Allocation', 'D': 'D-Solde', 'R': 'R-Préparation', 'I': 'I-Emission', 'B': 'B-Contremarque achat', 'G': 'G-Contremarque production', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des commandes
GESSQH;{'P': 'P-Proforma', 'O': 'O-Commande', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des devis
GESANU;{'P': 'P-Annulation mot de passe', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Annuaire utilisateur
CONSSTA;{'N': 'N-Tous niveaux'};Statistiques
GESPRH;{'L': 'L-Livraison', 'G': 'G-Colisage', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Bons de préparation
GESPRH2;{'L': 'L-Livraison', 'G': 'G-Colisage', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Bons de préparation
GESBBY;{'K': 'K-Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Assemblage
GESDBY;{'K': 'K-Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Désassemblage
GESITN;{'K': 'K-Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Interventions
GESMTK;{'K': 'K-Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Suivi de fabrication
