CODINT_0;FLAG_0;FLAG_1;FLAG_2;FLAG_3;FLAG_4;FLAG_5;FLAG_6;FLAG_7;FLAG_8;FLAG_9;FLAG_10;FLAG_11;FLAG_12;OPTION_0;OPTION_1;OPTION_2;OPTION_3;OPTION_4;OPTION_5;OPTION_6;OPTION_7;OPTION_8;OPTION_9;OPTION_10;OPTION_11;OPTION_12;TYP_0;Texte0;Texte1;Texte2;Texte3;Texte4;Texte5;Texte6;Texte7;Texte8;Texte9;Texte10;Texte11;Texte12;Désignation
METDI;z; ; ; ; ; ; ; ; ; ; ; ; ;4954;0;0;0;0;0;0;0;0;0;0;0;0;1;z-Quantités;;;;;;;;;;;;;#N/A
GESBPD;W; ; ; ; ; ; ; ; ; ; ; ; ;6052;0;0;0;0;0;0;0;0;0;0;0;0;2;W-Toutes sociétés;;;;;;;;;;;;;#N/A
GESBPR;W; ; ; ; ; ; ; ; ; ; ; ; ;6052;0;0;0;0;0;0;0;0;0;0;0;0;2;W-Toutes sociétés;;;;;;;;;;;;;Tiers
GESITU;W; ; ; ; ; ; ; ; ; ; ; ; ;6052;0;0;0;0;0;0;0;0;0;0;0;0;2;W-Toutes sociétés;;;;;;;;;;;;;#N/A
GESBIC;V;E; ; ; ; ; ; ; ; ; ; ; ;10374;3460;0;0;0;0;0;0;0;0;0;0;0;2;V-Validation des factures;E-Echéances;;;;;;;;;;;;Factures tiers client
GESBIS;V;E; ; ; ; ; ; ; ; ; ; ; ;10374;3460;0;0;0;0;0;0;0;0;0;0;0;2;V-Validation des factures;E-Echéances;;;;;;;;;;;;Factures tiers fournisseur
GESFRM;V;F;T; ; ; ; ; ; ; ; ; ; ;18624;7514;10735;0;0;0;0;0;0;0;0;0;0;2;V-Validation;F-Fichier banque;T-Transactions;;;;;;;;;;;Saisie bordereau de remise
GESPAB;V;F;T; ; ; ; ; ; ; ; ; ; ;18624;7514;3211;0;0;0;0;0;0;0;0;0;0;2;V-Validation;F-Fichier banque;T-Transaction;;;;;;;;;;;Saisie avis de domiciliation
GESPIH;V;E;U;I; ; ; ; ; ; ; ; ; ;18624;3460;44107;7445;0;0;0;0;0;0;0;0;0;2;V-Validation;E-Echéances;U-Déblocage erreur rapprochement;I-Emission;;;;;;;;;;Factures
GESPNH;V;K; ; ; ; ; ; ; ; ; ; ; ;1049;16462;0;0;0;0;0;0;0;0;0;0;0;2;V-Validation;K-Modification mvts de stock;;;;;;;;;;;;Retours d'achat
GESREL;V;J; ; ; ; ; ; ; ; ; ; ; ;18624;3770;0;0;0;0;0;0;0;0;0;0;0;2;V-Validation;J-Mise à jour;;;;;;;;;;;;Relevés
GESSDH;V;P;F;K;G;I; ; ; ; ; ; ; ;1049;12450;9784;43877;12257;7445;0;0;0;0;0;0;0;2;V-Validation;P-Proforma;F-Facture;K-Modif. mvts de stock/qtés;G-Colisage;I-Emission;;;;;;;;Livraisons
GESSDH2;V;P;F;K;G; ; ; ; ; ; ; ; ;1049;12450;9784;16462;12257;0;0;0;0;0;0;0;0;2;V-Validation;P-Proforma;F-Facture;K-Modification mvts de stock;G-Colisage;;;;;;;;;Livraisons
GESSIH;V;E;R;K;I; ; ; ; ; ; ; ; ;18624;3460;7770;16462;7445;0;0;0;0;0;0;0;0;2;V-Validation;E-Echéances;R-Règlement;K-Modification mvts de stock;I-Emission;;;;;;;;;Factures
GESSNL;V; ; ; ; ; ; ; ; ; ; ; ; ;18624;0;0;0;0;0;0;0;0;0;0;0;0;2;V-Validation;;;;;;;;;;;;;Inventaire
AREQUETE;U; ; ; ; ; ; ; ; ; ; ; ; ;6481;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Tous utilisateurs;;;;;;;;;;;;;Gestion des requêtes
EXERQT;U; ; ; ; ; ; ; ; ; ; ; ; ;6481;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Tous utilisateurs;;;;;;;;;;;;;Soumission des requêtes
GESABA;U; ; ; ; ; ; ; ; ; ; ; ; ;6481;0;0;0;0;0;0;0;0;0;0;0;0;2;U-Tous utilisateurs;;;;;;;;;;;;;Gestion des abonnements
GESAWU;U; ; ; ; ; ; ; ; ; ; ; ; ;6481;0;0;0;0;0;0;0;0;0;0;0;0;2;U-Tous utilisateurs;;;;;;;;;;;;;Utilisateurs délégués
FUNPSH;U; ; ; ; ; ; ; ; ; ; ; ; ;11045;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Tous demandeurs;;;;;;;;;;;;;Solde des demandes achat
FUNPSH2;U; ; ; ; ; ; ; ; ; ; ; ; ;11045;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Tous demandeurs;;;;;;;;;;;;;Solde des demandes achat
BANAFFA;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Affectation banques
BANAFFM;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Saisie banques
BPCVAL;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Validation client
BPSVAL;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Validation fournisseur
CPTACTSIM;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Activation simulations
CPTANA;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Modification analytique
CPTANUSIM;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Annulation simulations
CPTCLP;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Ecritures calculées
